course_source,voice_tag,phrase_or_pattern,chapter_tags,files_found_in,hit_count,frequency,representative_snippet,description
Gen-Psych,gen-psych,Voice: Hot sauce paper,Research-Methods; Social-Psychology,"FS20v–SS21v (King-4e); FS21–SS26 (Myers-13e, 4 semesters)",8,recurring (8–14 files),onstraints on working memory Practical: Hot sauce with condiments Can result in cognitive biases Examples in decision making [NOTES] 7.3 – Contrast algorithms and heuristics as problem-solvi,Ecological-validity research example
Gen-Psych,gen-psych,Voice: Intrinsic motivation framing,Motivation-Emotion-Stress; Learning,"SS16–SS17 (Wade); FS16 (King-3e); FS19–SS21v (King-4e, 3 semesters); FS21–SS26 (Myers-13e, 5 semesters)",25,perennial (15+ files),"ractions associated with birthing, milk flow during nursing, and orgasm, and promotes pair bonding, group cohesion, and social trust. The pituitary also directs other endocrine glands to rel",Overjustification / self-determination framing
Gen-Psych,gen-psych,Voice: Latent Learning / Tolman maze,Learning,"SS17 (Wade); FS16 (King-3e); FS19–SS21v (King-4e); FS21–SS26 (Myers-13e, 7 semesters)",27,perennial (15+ files),"often have limited success. ## Slide 58 Tolman’s Maze The rat initially explores the maze. The rat learns to turn right to obtain food at B when it starts at A. When placed at C, the rat tur",Cognitive-map / latent-learning example
Gen-Psych,gen-psych,Voice: Leaky bucket (STM),Memory,SS17 (Wade); SP18 (King-4e); FS21–SS26 (Myers-13e),4,occasional (3–7 files),Attitudes and Actions Lectures: The Ice Bucket Challenge; The Peripheral Route Can Lead Us Astray; The Looking Glass Effect; The Justification of Effort; Self-P,STM decay metaphor
Gen-Psych,gen-psych,Voice: Little Albert narrative,Learning,"SS17 (Wade); FS16 (King-3e); FS21–SS26 (Myers-13e, 6 semesters)",18,perennial (15+ files),Watson and Rayner conducted the famous “Little Albert” experiments. ## Slide 16 Psychological Science Develops: Freudian Psychology Sigmund Freud (1856–1939) Emphasized how unconscious thoug,Classical-conditioning ethical-violation narrative
Gen-Psych,gen-psych,Voice: Mario / Mini-Me exam narrative,Assessment (exams),SS16–SS17 (Wade); FS16 (King-3e),3,occasional (3–7 files),ust behavior accordingly. Heidi Stetson Mario [NOTES] 13.2 – List the emotions that have a universal facial expression.   Great moms have al,Narrative framing — exam humor
Gen-Psych,gen-psych,Voice: Milgram narrative,Social-Psychology,"SS17 (Wade); FS17–FS20v (King-4e, 4 semesters); FS21–SS26 (Myers-13e, 7 semesters)",28,perennial (15+ files),"the individual in authority. In stanley milgram’s classic experiment (1965, 1974), volunteer participants (“teachers”) were asked to deliver dangerous and painful electric shocks to other pa",Obedience study framing
Gen-Psych,gen-psych,Voice: Orchid / Dandelion analogy,Developmental; Neuroscience-Biology,"SS16–SS17 (Wade); FS16 (King-3e); FS17–FS20v (King-4e, 3 semesters); FS21–SS26 (Myers-13e, 5 semesters)",13,recurring (8–14 files),"of Intellectual Development ## Slide 28 Orchids, what is special about them? ## Slide 29 Orchid versus Dandelion Children Orchids Difficult temperament Highly sensitive to environment With p",Gene-environment metaphor
Gen-Psych,gen-psych,Voice: Orchid brain / cortisol framing,Neuroscience-Biology; Motivation-Emotion-Stress,"SS16–SS17 (Wade); FS16 (King-3e); FS19–SS21v (King-4e, 4 semesters); FS21–SS26 (Myers-13e, 7 semesters)",58,perennial (15+ files),"frontal cortex activity Heightened HPA (cortisol), either result or predispose Early trauma/abuse play a causal role for some Insecure attachment ## Slide 52 Suicide Factors promoting suicid",Stress-response / cortisol framing
Gen-Psych,gen-psych,Voice: Orchid/Dandelion / Gene-Env,Developmental,SS16/Wade,1,rare (1 file),"ussed children in terms of being either orchids or dandelions, why? Dandelions thrive anywhere It was an attempt to address complex gene environment interactions, in which the traits of a child intera",Gene-environment sensitivity metaphor (variant phrasing)
Gen-Psych,gen-psych,Voice: Page-number study guide style,Study-Materials,"SS16–SS17 (Wade); FS16 (King-3e); SP18–SS21v (King-4e, 5 semesters); FS21–SS26 (Myers-13e, 7 semesters)",53,perennial (15+ files),"es (EMG) Eyes (EOG) [NOTES] Figure 9.1, page 290 ## Slide 15 Sleep Stages and Description 15 ## Slide 16 Polysomnograph Records [NOTES] Figure 8.11 Polysomnogra",Study guide / textbook reference format
Gen-Psych,gen-psych,Voice: Phineas Gage narrative,Neuroscience-Biology,"SS16–SS17 (Wade); FS16 (King-3e); FS17–SS21v (King-4e, 6 semesters); FS21–SS26 (Myers-13e, 7 semesters)",82,perennial (15+ files),"or, but not all individuals with ASPD engage in crime and not all criminals suffer from ASPD. Antisocial personality disorder is genetically heritable and certain genetic characteristics int",Frontal-lobe / personality case study
Gen-Psych,gen-psych,Voice: Psyc 277 Holocaust course ref,Foundations-History,FS21/Myers-13e,3,occasional (3–7 files),"kins-Holman Student Commons Preview Psyc277: Psychology of the Holocaust and learn how it can satisfy one of your G.E. elective credits Free food, t-shirts, and a $100 discount provided to a",Cross-course connection to PSYC 277 / History of Psych
Gen-Psych,gen-psych,Voice: Roy G BIV example,Memory; Sensation-Perception,"FS21–SS26 (Myers-13e, 6 semesters)",9,recurring (8–14 files),ivided into narrower concepts and facts Roy G BIV ## Slide 106 ## Slide 107 ## Slide 108 Distributed Practice (part 1) Spaced study and self,Mnemonic example
Gen-Psych,gen-psych,Voice: SRT / Germany anecdote,Learning; Memory,SS16–SS17 (Wade); FS16 (King-3e); FS17–SS20 (King-4e),2,rare (2 files),eak German? ## Slide 4 Post-Doc 2 years in Germany Prof Dr. Oliver Schultheiss HuMAN LAB Guy Wolfgang Arthur Oxford ## Slide 5 One Life to Live… Grab life by the horns… Grab Life by the Horn,Implicit learning / procedural memory anecdote
Gen-Psych,gen-psych,Voice: Sapolsky reference,Neuroscience-Biology; Learning; Motivation-Emotion-Stress,"SS16–SS17 (Wade); FS16 (King-3e); FS21–SS26 (Myers-13e, 7 semesters)",15,perennial (15+ files),"als. ## Slide 57 ## Slide 58 Dopamine – Sapolsky Light comes on, indicates that you can do work and get a reward Dopamine increases with the light, promoting goal directed behavior When inte",Sapolsky dopamine / stress lecture reference
Gen-Psych,gen-psych,Voice: Self-determination theory,Motivation-Emotion-Stress,"SS16–SS17 (Wade); FS16 (King-3e); FS17–SS21v (King-4e, 6 semesters); FS21–SS26 (Myers-13e, 7 semesters)",113,perennial (15+ files),"s in thinking, concentrating, or making decisions, and recurrent thoughts of death and suicide. Persistent depressive disorder involves an individual having a less extreme depressed mood for",Deci & Ryan SDT framing
Gen-Psych,gen-psych,Voice: Sperling demo (in-class),Memory; Sensation-Perception,"FS17–SS21v (King-4e, 4 semesters); FS21–SS26 (Myers-13e, 5 semesters)",9,recurring (8–14 files),"N	H M	C	V R	Z	Q X	T	P Z	B	M C	W	J K	T	N Sperling’s Sensory Memory Study [NOTES] Sperling Demonstration:  Warn students letters flash very quickly.  Click to present stimulus, then ask studen",Iconic-memory lecture demonstration
Gen-Psych,gen-psych,Voice: Stanford Prison / Zimbardo,Social-Psychology,"SS17 (Wade); FS16 (King-3e); FS17–FS20v (King-4e, 4 semesters); FS21–SS26 (Myers-13e, 3 semesters)",12,recurring (8–14 files),"power of obedience, conducted by philip zimbardo in 1971. Zimbardo created a simulated prison where subjects were divided into the role of “prisoner” or “guard.”  Guards were informed that t",Situationism example
Gen-Psych,gen-psych,Voice: Tarzan hormone question,Neuroscience-Biology,SS16/Wade,1,rare (1 file),"le for many functions. For example, for Tarzan in the wild,__________ hormone makes him go to sleep,_____________ hormone facilitates fighting or fleeing, and with his son Korak _________ ho",Narrative question / exam item
Gen-Psych,gen-psych,Voice: Tesla Vision (S&P),Sensation-Perception,FS25–SS26 (Myers-13e),2,rare (2 files),"but disrupted color perception. Use the Tesla autopilot image (slide 5) — the camera sensed the train bogies; the model perceived them as trucks. Same sensor, wrong interpretation. Section:",Top-down perception demo
Gen-Psych,gen-psych,Voice: Who am I? framing,Foundations-History; Personality,"FS21–SS26 (Myers-13e, 6 semesters)",13,recurring (8–14 files),"jective Measure of Ego-Identity Status; Who Am I?; The Life Cycle Project/Exercise: Applying Erikson’s Psychosocial Stages PsychSim 6: Who Am I? Think, Pair, Share: Dr. Keturah Elisabeth Whi",Identity / perspective-taking opener
Cognitive,analogy,like a video camera,,8 Chapter Memory Errors.pptx; 8_Memory_Errors_Student_Notes_Compact.docx,2,rare (1-2),"n | ""63% of people believe memory works like a video camera. Are they right? Make a prediction: What happens to memories over time?"" Then s",
Cognitive,analogy,like me to draft a one-page “chapter map” graphic (a concept,,3 chapter dialogue.docx,1,rare (1-2),"Would you like me to draft a one-page “chapter map” graphic (a concept map or flow diagram) that visually shows these relationships, so students see the b",
Cognitive,analogy,like remembering a map,,5 Concepts and Helpful Material.docx,1,rare (1-2),Sketch Pad: Handles images and spaces (like remembering a map).,
Cognitive,analogy,like video camera,,8 Chapter Memory Errors.pptx,1,rare (1-2),"ation Chapter 8:  63% believe memory is like video camera, and 48% that memory does not change once created.   We’ll see these beliefs ar",
Cognitive,animal-comparative,adaptive for cognition,,5 STM Textbook Assignment.docx,1,rare (1-2),Why is this architecture adaptive for cognition?,
Cognitive,animal-comparative,Evolution and Memory,,7 Textbook Outline Assignment.docx,1,rare (1-2),Evolution and Memory: Why would natural selection favor:,
Cognitive,animal-comparative,evolution have shaped memory,,7 Textbook Outline Assignment.docx,1,rare (1-2),Why might evolution have shaped memory this way?,
Cognitive,animal-comparative,evolution of long-term memory,,7 Longterm Memory PPT.pptx,1,rare (1-2),ted with long term memory? Describe the evolution of long-term memory structures across vertebrates. Combining insights from cognitive science and le,
Cognitive,cross-chapter,Links to,,3 Perception New.pptx; 3 Perception.pptx; 3 Reimagined Slide Deck.docx; 3 Textbook Assignment Key.docx,7,occasional (3-7),rience shapes neural responses. It also links to regularities and Bayesian inference because it demonstrates how the brain adapt,
Cognitive,cross-chapter,connect to,,3 Perception New.pptx; 6 Textbook Outline Assignment.docx; 7 Textbook Outline Assignment.docx; 8_Memory_Errors_Student_Notes_Compact.docx,6,occasional (3-7),the things it expects? How does seeing connect to doing? [NOTES] Why can two different people experience different perceptions in,
Cognitive,cross-chapter,connects to,,3 Perception New.pptx; 3 chapter dialogue.docx; 8_Memory_Errors_Student_Notes_Compact.docx,3,occasional (3-7),"sed on meaning/gist, not exact details. Connects to eyewitness testimony.",
Cognitive,cross-chapter,Bridge,,4 Attention Textbook Assignment.docx,1,rare (1-2),Neuro-Behavior Bridge: Link one neural evidence finding with one behavioral finding to show how brain,
Cognitive,cross-chapter,Link to,,6 Textbook Outline Assignment.docx,1,rare (1-2),Link to planning and creativity.,
Cognitive,cross-chapter,remember that,,8 Chapter Memory Errors.pptx,1,rare (1-2),"Construction of Memories | Crucial to remember that the same process that makes false memories, has other benefits… Some people hav",
Cognitive,demo,demonstration,,4 Attention PPT.pptx; 5 Short-term working memory PPT.pptx; 7 Longterm Memory PPT.pptx; 9 Chapter Conceptual Knowledge PPT.pptx,10,recurring (8-14),"s Sensory Memory Study [NOTES] Sperling Demonstration:  Warn students letters flash very quickly.  Click to present stimulus, then as",
Cognitive,demo,Activity,,3 Reimagined Slide Deck.docx; 5 Concepts and Helpful Material.docx,7,occasional (3-7),ves” solving the mystery of perception. Activity: Assign 4 corners of the room — students go to the one they think explains perc,
Cognitive,demo,demo,,3 Reimagined Slide Deck.docx; 5 Short-term working memory PPT.pptx; 📝 Draft Master Workflow Prompt.docx,3,occasional (3-7),"ifying the procedure. At the end of the demo, explain that to estimate the capacity of their STM, students should add one to",
Cognitive,demo,in class,,3 chapter dialogue.docx; 5 Concepts and Helpful Material.docx,3,occasional (3-7),what matters (ignoring background noise in class).,
Cognitive,demo,Let's,,0 Cognitive 25FS Introductions.pptx; 7 Longterm Memory PPT.pptx,2,rare (1-2),"ms marked as Practice, not for points.  Let's see what it looks like.",
Cognitive,demo,try this,,0 Cognitive 25FS Introductions.pptx; 3 Reimagined Slide Deck.docx,2,rare (1-2),"Hook: “Try this: close one eye and reach for your water bottle — harder, right?” Visual: Pathwa",
Cognitive,demo,turn to,,6 Long-term Memory PPT R.pptx; 6 Long-term Memory PPT.pptx,2,rare (1-2),"ave focused on Explicit LTM, but now we turn to Implicit Memories       Brain areas associated?",
Cognitive,mnemonic,Tip,,5 Concepts and Helpful Material.docx,3,occasional (3-7),"s three chunks instead of nine letters. Tip: Practice chunking with vocabulary words, formulas, or even names of classmates",
Cognitive,mnemonic,Trick,,12 Chapter Problem Solving PPT.pptx; 3 chapter dialogue.docx,2,rare (1-2),structure for a guided assignment. The trick is to design prompts that force students to move across levels and make connect,
Cognitive,persona,Dr. Oxford,,0 Cognitive 25FS Introductions.pptx; 7 Textbook Outline Assignment.docx,2,rare (1-2),The Big Picture: Dr. Oxford showed semantic mapping on the cortex. How does systems consolidation explain h,
Cognitive,persona,"Prof, Awesome-Sauce | Jon Oxford",,0 Cognitive 25FS Introductions.pptx,1,rare (1-2),"Unicorn Prof, Awesome-Sauce | Jon Oxford, Ph.D. University of Missouri – Columbia Bachelors Biology / Chemistry Doctorat",
Cognitive,persona,Unicorn,,0 Cognitive 25FS Introductions.pptx,1,rare (1-2),"Unicorn Prof, Awesome-Sauce | Jon Oxford, Ph.D. University of Missouri – Columbia Bache",
Cognitive,signature-example,HM,,2 Cognitive Neuroscience.pptx; 6 Long-term Memory PPT R.pptx; 6 Long-term Memory PPT.pptx; 6 Textbook Outline Assignment.docx,11,recurring (8-14),"age affects cognitive functioning E.g., HM, Phineas Gage, Prosopagnosia, etc.  Specific regions support specific functions",
Cognitive,signature-example,Clive Wearing,,6 Long-term Memory PPT R.pptx; 6 Long-term Memory PPT.pptx,2,rare (1-2),Clive Wearing,
Cognitive,signature-example,Phineas Gage,,2 Cognitive Neuroscience.pptx; 5 Short-term working memory PPT.pptx,2,rare (1-2),"affects cognitive functioning E.g., HM, Phineas Gage, Prosopagnosia, etc.  Specific regions support specific functions Example, Lang",
Cognitive,signature-framing,Digit Span,,5 Concept Heirarchy For Testbanks.docx; 5 STM Textbook Assignment.docx; 5 Short-term working memory PPT.pptx; 6 Long-term Memory PPT.pptx,5,occasional (3-7),"ity to use chunking Student had initial digit span of 7 After 230 one-hour training sessions, student could remember up to 79 digi",
Cognitive,signature-framing,Backward Digit,,5 Short-term working memory PPT.pptx,4,occasional (3-7),ckward Digit Span Demonstration begins. Backward Digit Span Demonstration: Click to begin a trial.  Ppt will slowly present a set of d,
Disorders,cross-chapter,links to,,3 Psychological Disorders 23SS.pptx,2,rare (1-2),"his site contains a series of excellent links to resources related to neuroimaging, neuroanatomy, and their relation to psychopa",
Disorders,cross-chapter,Connect to,,Lesson-Plan-–-Detecting-the-Mood-Disorder-final.docx,1,rare (1-2),Connect to case study project with fictional character? How can you apply what we did toda,
Disorders,cross-chapter,Remember that,,11 Personality Disorders 23SS short.pptx,1,rare (1-2),"arming, interpersonally manipulative    Remember that read the Case Study… [NOTES] Reminder to students: “Antisocial” in this context",
Disorders,demo,activity,,Activities for Abnormal Psychology.docx,9,recurring (8-14),The students responded well to this activity.  Be sure to point out what criteria make it one diagnosis and not the other.,
Disorders,demo,right now,,4 Psychological Disorders 23SS R.pptx; 4 Psychological Disorders 23SS RR.pptx; 4 Psychological Disorders 23SS.pptx,3,occasional (3-7),oncern about something that’s happening right now.  Example of fear: Jumping out of the way if you see a snake approaching Exampl,
Disorders,demo,in class,,2 Psychological Disoders 23SS.pptx; Activities for Abnormal Psychology.docx,2,rare (1-2),"omeone said “Cut it out” But not others in class? Emotional Emotions affect physiological responses, BP, HR, respiration Chicken",
Disorders,demo,exercise,,Activities for Abnormal Psychology.docx,1,rare (1-2),ine volunteered and said he enjoyed the exercise.  Be sure that you do not ask any questions that are too personal.  If you are,
Disorders,mnemonic,Tip,,1 Psychological Disorders 23SS.pptx; 11 Personality Disorders 23SS short.pptx; 13 Abnormal 23SS Developmental.pptx; 2 Psychological Disoders 23SS.pptx,51,perennial (15+),re Personal distress [NOTES] Discussion Tip: Ask students to generate ideas of what constitutes a psychological disorder. I,
Disorders,persona,Oxford,,0 Abnormal Intro 23SS.pptx; 3 Psychological Disorders 23SS.pptx,2,rare (1-2),"Let’s Talk About Me! | Dr. Jon Oxford University of Missouri Undergraduate Evolutionary Biology, Chemistry, Anthropol",
Disorders,signature-example,Sapolsky,,2 Psychological Disoders 23SS.pptx; 21SS Paper Topic Proposal Assignment.docx; 23SS Presentation Proposal.docx,5,occasional (3-7),Dopamine | Sapolsky  Goal Directed Behavior  Operant Implication in depression and ADHD Link betw,
Disorders,signature-example,Bobo,,2 Psychological Disoders 23SS.pptx,1,rare (1-2),"ing Modeling and observational learning Bobo doll, siblings, self-esteem Prepared learning Species specific, taste aversion",
Lifespan,cross-chapter,Remember from,,4 Infancy Physical and Cognitive.pptx; 6 Early Childhood Physical and Cognitive.pptx,4,occasional (3-7),enses change and mature. | CONNECTIONS  Remember from Chapter 3 that a baby’s senses begin to develop while they are still in the ute,
Lifespan,cross-chapter,Remember that,,4 Infancy Physical and Cognitive.pptx,2,rare (1-2),What do babies know when they are born? Remember that babies seem to be particularly attuned to faces? Given anything else to look at,
Lifespan,cross-chapter,connect to,,4 Infancy Physical and Cognitive.pptx,1,rare (1-2),"? [Answer: provide factual information, connect to research on the topic of vaccines, dispel common myths (e.g., vaccines cause Au",
Lifespan,cross-chapter,Link to,,3 Birth and Prenatal.pptx,1,rare (1-2),ess Androgen Insensitivity Syndrome AIS Link to previous mentions [NOTES] Figure 3.2 (p. 56): Compare this pattern of sex-linke,
Lifespan,cross-chapter,links to,,5 Infancy Social and Emotional.pptx,1,rare (1-2),"or interacting with infant Vasopressin, links to arousal aggression and physical activity | 20",
Lifespan,demo,in class,,0 Dev 24FS Intro.pptx; 24FS PSYC330 Lifespan Development Oxford.docx; zzzz 22FS PSYC330 Lifespan Development Oxford.docx,8,recurring (8-14),"mory is a topic we have been discussing in class, which is the conscious and explicit part of our memory that is used for episod",
Lifespan,demo,activity,,2 Theories and Methods in Human Development.pptx; 6 Early Childhood Physical and Cognitive.pptx,2,rare (1-2),"l Notes As students are completing this activity, it will be helpful for the instructor to circulate between the groups. Make su",
Lifespan,mnemonic,Tip,,12 and 13 Early Adulthood.pptx,1,rare (1-2),interest in intimacy with someone else Tip-toe 3a: make babies and help them to succeed.,
Lifespan,persona,Awesome-Sauce,,24FS PSYC330 Lifespan Development Oxford.docx; zzzz 22FS PSYC330 Lifespan Development Oxford.docx,2,rare (1-2),"nguage and formatting, such as Dear Dr. Awesome-Sauce.",
Lifespan,persona,Oxford,,0 Dev 24FS Intro.pptx,2,rare (1-2),"Introduction | Jon Oxford, Ph.D. University of Missouri – Columbia Bachelors Biology / Chemistry Doctorat",
Lifespan,signature-example,Bobo,,2 Theories and Methods in Human Development.pptx,3,occasional (3-7),ely to whack an inflatable toy called a Bobo doll if they had seen another child or adult do the same thing—even if they onl,
Neuroscience,analogy,like an automatic camera,,8 Chapter Rhythms of Waking and Sleep.pptx,2,rare (1-2),"S] In everyday life, we mostly function like an automatic camera, but with a manual (conscious) override.",
Neuroscience,animal-comparative,evolution built a brain,,8 Sleep Narrative and Activity Proposal.docx,1,rare (1-2),Why has evolution built a brain that periodically shuts itself down — and what is it doing while we think it's,
Neuroscience,animal-comparative,Evolution of Behavior,,4 Genetics Evolution Development 26SS.pptx,1,rare (1-2),The Evolution of Behavior | Evolution refers to a change in allele frequencies in a population over time,
Neuroscience,animal-comparative,Evolution prepared us to avoid starvation more vigorously th,,9_3_Hunger_Regulation New.pptx,1,rare (1-2),dividuals already make plenty of leptin Evolution prepared us to avoid starvation more vigorously than excess | The ob/ob mouse: A mutation in the leptin gene = no leptin = brain thinks body has zero ,
Neuroscience,animal-comparative,Evolution | How does human behavior,,4 Genetics Evolution Development 26SS.pptx,1,rare (1-2),"Genetics and Evolution | How does human behavior depend on genetics, the environment, or both? Begin with review of Genetics.",
Neuroscience,animal-comparative,evolutionary logic is that an organism fighting infection sh,,Ch11_EmotionalBehaviors_Integration_Guide.docx,1,rare (1-2),"t looks remarkably like depression. The evolutionary logic is that an organism fighting infection should conserve energy, avoid social contact (reducing spread of infection and the metabolic costs of ",
Neuroscience,cross-chapter,bridge,,3 Chapter Structure NS 26SS.pptx; 8 Sleep Narrative and Activity Proposal.docx,3,occasional (3-7),The Hind-Brain - Pons | Brainstem “bridge”; above medulla Relay: cortex ↔ cerebellum / medulla Sleep + arousal (REM link),
Neuroscience,cross-chapter,connect to,,Ch11_EmotionalBehaviors_Integration_Guide.docx,1,rare (1-2),"ection: what earlier material does this connect to, and how?",
Neuroscience,cross-chapter,connects to,,8 Sleep Narrative and Activity Proposal.docx,1,rare (1-2),onstrained by the dreamer's brain. This connects to Charles Bonnet syndrome (slide 87) as a generalization: the cortex always gener,
Neuroscience,demo,in-class,,0 Neuroscience Introduction 26SS.pptx; 8 Sleep Narrative and Activity Proposal.docx; AI Ready BIOL PSYC 371 Neuroscience 26SS.docx; BIOL PSYC 371 Neuroscience Oxford 26SS.docx,21,perennial (15+),"computer, phone, tablet) for designated in-class activities. Otherwise, devices should not be visible. Students will not be allo",
Neuroscience,demo,Activity,,8 Sleep Narrative and Activity Proposal.docx,7,occasional (3-7),The Unifying Thread Activity (End of Unit) Give students the summary slide (slide 89) with all terms strippe,
Neuroscience,demo,in class,,6 Mechanical Senses.pptx; 6 PPT Outline.docx; AI Ready BIOL PSYC 371 Neuroscience 26SS.docx; BIOL PSYC 371 Neuroscience Oxford 26SS.docx,6,occasional (3-7),"erficiality. If you engage consistently in class and submit the in-class work, you will do well.",
Neuroscience,demo,Demo,,6 Mechanical Senses.pptx; 6 PPT Outline.docx,2,rare (1-2),ocessing Analogue: Binocular disparity  Demo: Close your eyes. Point to where I snap. Your brain computes 600-microsecond ti,
Neuroscience,demo,right now,,9_3_Hunger_Regulation New.pptx,2,rare (1-2),hing HUNGER neurons vs. SATIETY neurons right now? | Pro-hunger signals | Ghrelin ↑ (empty stomach) Low blood glucose (skipped me,
Neuroscience,demo,demonstration,,8 Sleep Narrative and Activity Proposal.docx,1,rare (1-2),"is is not a side effect; it is a direct demonstration of the histaminergic arousal system. From there, the full neurotransmitter tabl",
Neuroscience,persona,Dr. Oxford,,0 Neuroscience Introduction 26SS.pptx; AI Ready BIOL PSYC 371 Neuroscience 26SS.docx; BIOL PSYC 371 Neuroscience Oxford 26SS.docx,3,occasional (3-7),Who is Dr. Oxford? | Post-doc Alexander von Humboldt Fellow Human Motivational and Affective Neur,
Neuroscience,persona,Oxford,,0 Neuroscience Introduction 26SS.pptx; 9_3_Hunger_Regulation New.pptx; Ch11_EmotionalBehaviors_Integration_Guide.docx,3,occasional (3-7),"Introduction | Jon Oxford, Ph.D. University of Missouri – Columbia Bachelors Evolutionary Biology Doctora",
Neuroscience,persona,Awesome-Sauce,,AI Ready BIOL PSYC 371 Neuroscience 26SS.docx; BIOL PSYC 371 Neuroscience Oxford 26SS.docx,2,rare (1-2),Communication with Dr. Awesome-Sauce,
Neuroscience,signature-example,Sapolsky,,0 Neuroscience Introduction 26SS.pptx; 2 Chapter Synapses Kalat.pptx; 3 Chapter Structure NS 26SS.pptx,3,occasional (3-7),"Ulcers, Zebras, & Sapolsky [NOTES] https://youtu.be/ncYMV4DXCMU?t=111",
